timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1507100838.556,848.810,817.555,847.165,852.100,0.000,0.000,1
1507100838.556,810.975,797.815,827.425,832.360,0.000,0.000,0
1507100838.556,820.845,812.620,838.940,834.005,0.000,0.000,0
1507100838.556,861.970,832.360,860.325,860.325,0.000,0.000,0
1507100838.556,860.325,827.425,853.745,860.325,0.000,0.000,0
1507100838.556,802.750,804.395,829.070,835.650,0.000,0.000,0
1507100838.556,802.750,799.460,825.780,834.005,0.000,0.000,0
1507100838.556,852.100,819.200,848.810,842.230,0.000,0.000,0
1507100838.556,865.260,832.360,863.615,847.165,0.000,0.000,0
1507100838.556,812.620,819.200,843.875,834.005,0.000,0.000,0
1507100838.556,797.815,802.750,829.070,819.200,0.000,0.000,0
1507100838.556,814.265,819.200,842.230,829.070,0.000,0.000,0
1507100838.556,868.550,832.360,858.680,858.680,0.000,0.000,0
1507100838.556,847.165,834.005,858.680,845.520,0.000,0.000,0
1507100838.556,787.946,801.105,830.715,829.070,0.000,0.000,0
1507100838.556,794.526,807.685,838.940,827.425,0.000,0.000,0
1507100838.556,845.520,825.780,858.680,842.230,0.000,0.000,0
1507100838.636,878.419,827.425,858.680,855.390,0.000,0.000,0
1507100838.636,825.780,815.910,842.230,825.780,0.000,0.000,0
1507100838.636,819.200,801.105,824.135,812.620,0.000,0.000,0
1507100838.636,838.940,817.555,847.165,829.070,0.000,0.000,0
1507100838.636,878.419,825.780,858.680,860.325,0.000,0.000,0
1507100838.636,865.260,822.490,850.455,852.100,0.000,0.000,0
1507100838.636,792.881,802.750,829.070,827.425,0.000,0.000,0
1507100838.636,819.200,810.975,838.940,837.295,0.000,0.000,0
1507100838.636,858.680,827.425,860.325,853.745,0.000,0.000,0
1507100838.636,865.260,829.070,858.680,865.260,0.000,0.000,0
1507100838.636,812.620,807.685,835.650,835.650,0.000,0.000,0
1507100838.636,786.301,809.330,830.715,815.910,0.000,0.000,0
1507100838.636,838.940,824.135,848.810,840.585,0.000,0.000,0
1507100838.636,884.999,834.005,861.970,858.680,0.000,0.000,0
1507100838.636,845.520,820.845,842.230,835.650,0.000,0.000,0
1507100838.636,799.460,804.395,825.780,820.845,0.000,0.000,0
1507100838.702,819.200,814.265,840.585,832.360,0.000,0.000,0
1507100838.702,858.680,832.360,858.680,847.165,0.000,0.000,0
1507100838.702,865.260,830.715,860.325,850.455,0.000,0.000,0
1507100838.702,799.460,809.330,832.360,827.425,0.000,0.000,0
1507100838.702,799.460,806.040,832.360,822.490,0.000,0.000,0
1507100838.702,838.940,824.135,855.390,845.520,0.000,0.000,0
1507100838.702,878.419,829.070,857.035,865.260,0.000,0.000,0
1507100838.702,819.200,815.910,842.230,830.715,0.000,0.000,0
1507100838.702,786.301,809.330,829.070,817.555,0.000,0.000,0
1507100838.702,838.940,820.845,843.875,830.715,0.000,0.000,0
1507100838.702,884.999,835.650,860.325,850.455,0.000,0.000,0
1507100838.702,858.680,825.780,848.810,855.390,0.000,0.000,0
1507100838.702,806.040,806.040,827.425,829.070,0.000,0.000,0
1507100838.702,806.040,810.975,837.295,829.070,0.000,0.000,0
