timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1508374308.791,861.147,824.272,848.056,848.536,0.000,0.000,0
1508374308.793,854.773,826.466,849.838,848.878,0.000,0.000,0
1508374308.795,851.689,825.437,850.318,855.595,0.000,0.000,0
1508374308.797,847.028,828.111,852.100,851.346,0.000,0.000,0
1508374308.799,843.875,829.070,850.318,839.420,0.000,0.000,0
1508374308.801,846.342,828.590,851.072,838.255,0.000,0.000,0
1508374308.803,840.722,826.877,850.729,836.061,0.000,0.000,0
1508374308.805,840.928,826.328,849.153,838.049,0.000,0.000,0
1508374308.807,845.588,824.135,848.673,844.560,0.000,0.000,0
1508374308.809,847.645,820.640,844.903,850.592,0.000,0.000,0
1508374308.811,845.314,821.393,845.588,847.508,0.000,0.000,0
1508374308.813,835.993,822.901,848.124,832.634,0.000,0.000,0
1508374308.815,838.734,818.104,849.975,832.840,0.000,0.000,0
1508374308.817,851.963,819.954,850.592,846.548,0.000,0.000,0
1508374308.819,851.209,824.135,849.564,851.963,0.000,0.000,0
1508374308.821,850.866,824.478,849.495,848.810,0.000,0.000,0
1508374308.823,854.841,824.958,849.495,848.673,0.000,0.000,0
1508374308.825,858.063,823.039,848.947,850.523,0.000,0.000,0
1508374308.827,860.188,818.241,848.810,857.446,0.000,0.000,0
1508374308.829,858.817,819.954,849.838,849.084,0.000,0.000,0
1508374308.831,854.979,821.942,846.754,840.105,0.000,0.000,0
1508374308.833,852.648,824.135,849.427,845.177,0.000,0.000,0
1508374308.835,854.499,824.272,849.358,855.253,0.000,0.000,0
1508374308.837,854.979,825.780,849.016,855.047,0.000,0.000,0
1508374308.839,848.262,824.546,848.673,850.318,0.000,0.000,0
1508374308.841,851.757,823.724,850.181,855.184,0.000,0.000,0
1508374308.843,849.564,819.886,847.850,850.798,0.000,0.000,0
1508374308.845,853.128,818.789,846.411,847.028,0.000,0.000,0
1508374308.847,846.342,814.677,844.629,832.566,0.000,0.000,0
1508374308.849,846.479,819.543,846.137,839.077,0.000,0.000,0
1508374308.851,845.314,822.833,844.286,844.834,0.000,0.000,0
1508374308.853,839.146,824.272,844.560,844.834,0.000,0.000,0
1508374308.855,838.871,821.188,846.548,840.585,0.000,0.000,0
1508374308.857,836.952,818.104,846.137,835.376,0.000,0.000,0
1508374308.859,835.856,817.624,842.641,830.167,0.000,0.000,0
1508374308.861,842.984,816.801,840.174,836.335,0.000,0.000,0
1508374308.863,848.810,819.817,842.984,842.093,0.000,0.000,0
1508374308.865,848.673,821.256,843.669,833.114,0.000,0.000,0
1508374308.867,855.390,821.256,844.834,832.977,0.000,0.000,0
1508374308.869,856.212,821.942,845.040,837.912,0.000,0.000,0
1508374308.871,842.504,821.736,844.355,837.158,0.000,0.000,0
1508374308.873,839.420,823.039,845.520,836.610,0.000,0.000,0
1508374308.875,841.476,824.478,846.068,848.673,0.000,0.000,0
1508374308.877,837.364,823.107,844.012,842.230,0.000,0.000,0
1508374308.879,837.021,819.886,844.560,837.706,0.000,0.000,0
1508374308.881,832.223,819.680,845.451,830.921,0.000,0.000,0
1508374308.883,840.654,822.079,847.508,840.311,0.000,0.000,0
1508374308.885,847.370,820.365,843.943,841.339,0.000,0.000,0
1508374308.887,850.455,820.640,841.887,844.972,0.000,0.000,0
1508374308.889,851.072,820.982,841.270,844.218,0.000,0.000,0
1508374308.891,846.617,823.450,842.504,845.246,0.000,0.000,0
1508374308.893,846.274,824.889,845.040,852.443,0.000,0.000,0
1508374308.895,838.323,813.854,846.274,842.847,0.000,0.000,0
1508374308.897,839.968,808.371,845.863,841.887,0.000,0.000,0
1508374308.899,842.915,816.596,847.233,845.863,0.000,0.000,0
1508374308.901,850.660,817.418,847.096,849.564,0.000,0.000,0
1508374308.903,854.910,821.873,847.645,843.532,0.000,0.000,0
1508374308.905,858.337,823.518,846.548,838.186,0.000,0.000,0
1508374308.907,856.075,822.901,844.286,838.323,0.000,0.000,0
1508374308.909,849.975,824.272,843.395,842.024,0.000,0.000,0
1508374308.911,849.358,822.559,844.560,853.950,0.000,0.000,0
1508374308.913,846.959,821.873,847.713,850.798,0.000,0.000,0
1508374308.915,841.819,821.736,848.056,843.532,0.000,0.000,0
1508374308.917,843.395,822.833,849.153,846.891,0.000,0.000,0
1508374308.919,843.943,823.313,848.673,850.318,0.000,0.000,0
1508374308.921,845.383,825.095,848.810,850.318,0.000,0.000,0
1508374308.923,848.878,826.534,850.112,854.773,0.000,0.000,0
1508374308.925,853.265,823.792,849.495,859.365,0.000,0.000,0
1508374308.927,851.826,820.777,845.863,856.898,0.000,0.000,0
1508374308.929,849.084,821.599,846.754,847.782,0.000,0.000,0
1508374308.931,856.349,823.998,848.536,844.766,0.000,0.000,0
1508374308.933,851.552,824.341,847.782,842.778,0.000,0.000,0
1508374308.935,846.822,825.917,846.342,837.226,0.000,0.000,0
1508374308.937,844.423,826.054,847.645,832.292,0.000,0.000,0
1508374308.939,842.710,823.998,847.028,834.279,0.000,0.000,0
1508374308.941,843.395,821.668,846.274,833.731,0.000,0.000,0
1508374308.943,850.318,818.035,844.423,844.903,0.000,0.000,0
1508374308.945,849.838,816.733,845.314,845.040,0.000,0.000,0
1508374308.947,854.156,818.104,843.669,841.887,0.000,0.000,0
1508374308.949,855.047,818.857,845.040,851.072,0.000,0.000,0
1508374308.951,847.028,820.023,847.850,852.100,0.000,0.000,0
1508374308.953,843.532,823.792,850.181,849.084,0.000,0.000,0
1508374308.955,846.822,824.341,850.866,852.991,0.000,0.000,0
1508374308.957,848.673,823.107,850.798,853.539,0.000,0.000,0
1508374308.959,855.184,824.889,849.906,860.393,0.000,0.000,0
1508374308.961,856.144,825.849,849.769,853.539,0.000,0.000,0
1508374308.963,858.611,824.478,848.536,849.495,0.000,0.000,0
1508374308.965,860.119,822.696,846.479,853.265,0.000,0.000,0
1508374308.967,865.397,823.176,844.629,849.153,0.000,0.000,0
1508374308.969,861.490,823.176,845.520,842.573,0.000,0.000,0
1508374308.971,856.966,822.901,847.165,846.479,0.000,0.000,0
1508374308.973,853.539,824.478,850.112,850.660,0.000,0.000,0
1508374308.975,851.140,827.014,850.181,851.894,0.000,0.000,0
1508374308.977,849.495,828.042,848.536,847.987,0.000,0.000,0
1508374308.979,844.218,824.546,845.109,847.028,0.000,0.000,0
