timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1508374118.264,841.065,818.583,848.604,836.061,0.000,0.000,0
1508374118.266,843.738,817.624,848.124,838.940,0.000,0.000,0
1508374118.268,851.757,817.350,847.302,846.617,0.000,0.000,0
1508374118.270,841.819,813.991,846.274,837.089,0.000,0.000,0
1508374118.272,843.052,813.923,845.588,834.211,0.000,0.000,0
1508374118.274,846.479,815.225,843.327,828.179,0.000,0.000,0
1508374118.276,853.402,815.842,846.068,833.799,0.000,0.000,0
1508374118.278,851.552,817.898,847.713,840.242,0.000,0.000,0
1508374118.280,849.153,818.241,849.153,838.255,0.000,0.000,0
1508374118.282,846.068,818.789,850.044,834.005,0.000,0.000,0
1508374118.284,847.233,819.749,849.906,839.077,0.000,0.000,0
1508374118.286,845.451,816.253,847.850,841.682,0.000,0.000,0
1508374118.288,846.959,815.910,846.891,840.242,0.000,0.000,0
1508374118.290,843.395,817.898,845.931,829.207,0.000,0.000,0
1508374118.292,849.016,818.583,847.165,835.239,0.000,0.000,0
1508374118.294,845.520,817.213,846.411,838.186,0.000,0.000,0
1508374118.296,850.592,814.060,844.149,836.610,0.000,0.000,0
1508374118.298,851.209,813.511,844.834,840.516,0.000,0.000,0
1508374118.300,847.508,814.197,849.290,845.794,0.000,0.000,0
1508374118.302,843.532,814.608,851.620,843.601,0.000,0.000,0
1508374118.304,847.165,818.104,852.237,844.766,0.000,0.000,0
1508374118.306,844.560,820.297,852.237,839.557,0.000,0.000,0
1508374118.308,847.233,820.640,850.249,835.239,0.000,0.000,0
1508374118.310,850.318,820.640,849.016,832.292,0.000,0.000,0
1508374118.312,845.177,817.829,846.205,827.768,0.000,0.000,0
1508374118.314,846.959,814.951,841.339,824.546,0.000,0.000,0
1508374118.316,852.100,816.116,841.887,825.712,0.000,0.000,0
1508374118.318,854.567,816.801,844.492,841.545,0.000,0.000,0
1508374118.320,844.972,820.845,843.190,839.420,0.000,0.000,0
1508374118.322,838.323,820.434,845.177,839.625,0.000,0.000,0
1508374118.324,832.908,820.297,847.096,824.615,0.000,0.000,0
1508374118.326,834.759,820.503,845.726,825.917,0.000,0.000,0
1508374118.328,833.388,818.583,844.629,820.982,0.000,0.000,0
1508374118.330,842.504,817.281,844.218,825.712,0.000,0.000,0
1508374118.332,847.645,815.225,845.109,824.821,0.000,0.000,0
1508374118.334,851.826,813.169,847.782,835.239,0.000,0.000,0
1508374118.336,841.819,812.278,844.903,829.550,0.000,0.000,0
1508374118.338,832.977,813.100,847.919,829.824,0.000,0.000,0
1508374118.340,832.977,817.624,850.181,833.594,0.000,0.000,0
1508374118.342,838.734,819.200,849.906,834.142,0.000,0.000,0
