timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1507860315.772,862.038,824.341,842.504,847.233,0.000,0.000,0
1507860315.774,853.471,824.204,843.738,854.019,0.000,0.000,0
1507860315.776,824.821,822.764,840.996,831.263,0.000,0.000,0
1507860315.778,811.044,822.490,838.940,821.873,0.000,0.000,0
1507860315.780,799.049,818.995,838.871,806.589,0.000,0.000,0
1507860315.782,807.960,814.608,839.762,821.256,0.000,0.000,0
1507860315.784,817.075,814.334,840.516,824.683,0.000,0.000,0
1507860315.786,825.986,812.620,841.545,826.671,0.000,0.000,0
1507860315.788,838.940,813.648,840.585,831.195,0.000,0.000,0
1507860315.790,854.362,815.568,841.819,839.694,0.000,0.000,0
1507860315.792,863.066,814.128,842.093,840.722,0.000,0.000,0
1507860315.794,863.752,812.209,845.657,848.604,0.000,0.000,0
1507860315.796,836.404,814.539,844.903,826.123,0.000,0.000,0
1507860315.798,822.353,819.474,845.726,829.207,0.000,0.000,0
1507860315.800,814.814,819.406,843.327,827.219,0.000,0.000,0
1507860315.802,813.854,819.200,842.367,828.727,0.000,0.000,0
1507860315.804,819.817,821.051,840.996,828.522,0.000,0.000,0
1507860315.806,829.481,820.708,841.339,831.812,0.000,0.000,0
1507860315.808,848.878,819.474,842.847,851.277,0.000,0.000,0
1507860315.810,848.604,819.337,842.093,845.314,0.000,0.000,0
1507860315.812,857.515,814.951,843.875,840.859,0.000,0.000,0
1507860315.814,843.601,814.814,845.246,834.553,0.000,0.000,0
1507860315.816,830.372,815.910,846.205,830.715,0.000,0.000,0
1507860315.818,809.810,814.128,844.423,824.204,0.000,0.000,0
1507860315.820,802.408,818.857,841.407,824.752,0.000,0.000,0
1507860315.822,803.162,821.531,838.871,820.640,0.000,0.000,0
1507860315.824,820.982,827.357,839.557,826.808,0.000,0.000,0
1507860315.826,821.393,826.534,838.392,826.054,0.000,0.000,0
1507860315.828,836.404,827.494,839.283,834.896,0.000,0.000,0
1507860315.830,841.887,826.123,841.819,831.538,0.000,0.000,0
1507860315.832,864.094,821.873,843.806,843.464,0.000,0.000,0
1507860315.834,850.660,815.430,845.177,843.395,0.000,0.000,0
1507860315.836,837.364,815.773,843.943,833.045,0.000,0.000,0
1507860315.838,819.680,819.543,842.093,822.079,0.000,0.000,0
1507860315.840,809.947,823.930,842.298,824.067,0.000,0.000,0
1507860315.842,814.334,818.652,841.819,835.239,0.000,0.000,0
1507860315.844,819.406,816.596,842.093,832.292,0.000,0.000,0
1507860315.846,814.128,819.543,841.956,825.026,0.000,0.000,0
1507860315.848,832.360,822.490,845.109,840.174,0.000,0.000,0
1507860315.850,854.019,824.067,847.370,837.706,0.000,0.000,0
1507860315.852,866.219,827.014,846.548,831.812,0.000,0.000,0
1507860315.854,851.209,826.877,845.109,830.098,0.000,0.000,0
1507860315.856,831.743,826.945,845.451,825.986,0.000,0.000,0
1507860315.858,815.156,821.531,842.984,830.098,0.000,0.000,0
1507860315.860,804.327,820.091,841.819,825.369,0.000,0.000,0
1507860315.862,788.905,820.777,839.968,815.293,0.000,0.000,0
1507860315.864,803.710,826.328,838.940,814.402,0.000,0.000,0
1507860315.866,819.132,826.877,840.722,825.437,0.000,0.000,0
1507860315.868,843.464,826.603,841.202,830.030,0.000,0.000,0
1507860315.870,862.861,821.805,840.722,835.650,0.000,0.000,0
1507860315.872,870.811,821.119,839.557,836.267,0.000,0.000,0
1507860315.874,853.539,822.216,839.557,837.912,0.000,0.000,0
1507860315.876,845.177,822.559,836.747,840.722,0.000,0.000,0
1507860315.878,823.244,824.341,838.734,826.603,0.000,0.000,0
1507860315.880,809.947,822.833,837.501,817.966,0.000,0.000,0
1507860315.882,811.935,823.039,840.516,821.531,0.000,0.000,0
1507860315.884,821.805,823.518,839.625,826.808,0.000,0.000,0
1507860315.886,828.933,825.163,838.871,830.989,0.000,0.000,0
1507860315.888,841.407,822.285,840.448,836.267,0.000,0.000,0
1507860315.890,856.486,824.067,840.311,851.277,0.000,0.000,0
1507860315.892,863.615,824.889,840.242,845.109,0.000,0.000,0
1507860315.894,855.938,822.627,841.750,834.142,0.000,0.000,0
1507860315.896,840.242,824.821,844.423,829.276,0.000,0.000,0
1507860315.898,831.538,822.764,843.395,837.912,0.000,0.000,0
1507860315.900,815.499,822.147,839.351,826.877,0.000,0.000,0
1507860315.902,809.536,821.051,842.161,828.659,0.000,0.000,0
1507860315.904,812.826,823.381,842.298,829.207,0.000,0.000,0
1507860315.906,825.300,827.014,840.722,834.828,0.000,0.000,0
1507860315.908,851.552,830.852,843.258,854.773,0.000,0.000,0
1507860315.910,853.608,827.288,843.738,849.084,0.000,0.000,0
1507860315.912,869.098,825.095,843.601,852.922,0.000,0.000,0
1507860315.914,858.474,828.522,844.766,842.093,0.000,0.000,0
1507860315.916,847.508,831.332,844.903,836.884,0.000,0.000,0
1507860315.918,827.973,827.425,843.601,832.086,0.000,0.000,0
1507860315.920,818.241,826.397,840.996,825.506,0.000,0.000,0
1507860315.922,826.534,827.494,840.242,836.335,0.000,0.000,0
1507860315.924,824.821,829.276,841.682,826.671,0.000,0.000,0
1507860315.926,831.195,829.755,844.492,828.453,0.000,0.000,0
1507860315.928,847.645,831.606,844.834,840.311,0.000,0.000,0
1507860315.930,870.332,831.469,845.863,853.265,0.000,0.000,0
1507860315.932,874.444,829.070,842.573,841.065,0.000,0.000,0
1507860315.934,868.550,831.058,844.355,843.738,0.000,0.000,0
1507860315.936,848.193,833.183,842.915,838.734,0.000,0.000,0
1507860315.938,827.082,832.771,842.573,829.002,0.000,0.000,0
1507860315.940,820.708,832.771,842.504,825.232,0.000,0.000,0
1507860315.942,822.490,827.425,841.545,834.005,0.000,0.000,0
1507860315.944,836.404,826.603,843.601,840.037,0.000,0.000,0
1507860315.946,831.675,819.886,843.395,834.896,0.000,0.000,0
1507860315.948,842.230,820.503,846.137,843.532,0.000,0.000,0
1507860315.950,849.769,824.135,846.205,842.573,0.000,0.000,0
1507860315.952,861.696,829.002,847.713,848.878,0.000,0.000,0
1507860315.954,855.595,833.457,847.987,850.386,0.000,0.000,0
1507860315.956,840.174,834.211,845.726,842.093,0.000,0.000,0
1507860315.958,818.309,832.566,843.806,835.650,0.000,0.000,0
1507860315.960,815.362,830.989,843.601,842.298,0.000,0.000,0
1507860315.962,813.717,828.522,844.560,837.089,0.000,0.000,0
1507860315.964,826.054,826.123,841.613,835.581,0.000,0.000,0
1507860315.966,835.993,826.328,840.996,841.202,0.000,0.000,0
1507860315.968,842.710,827.357,839.762,843.258,0.000,0.000,0
1507860315.970,845.863,828.727,842.847,836.267,0.000,0.000,0
1507860315.972,864.232,831.675,845.246,843.258,0.000,0.000,0
1507860315.974,867.590,829.344,845.794,855.458,0.000,0.000,0
1507860315.976,846.891,828.590,843.395,838.392,0.000,0.000,0
1507860315.978,812.620,828.042,840.791,817.007,0.000,0.000,0
1507860315.980,800.489,824.752,838.323,815.568,0.000,0.000,0
1507860315.982,809.262,818.583,838.529,828.042,0.000,0.000,0
1507860315.984,816.116,816.459,839.694,830.235,0.000,0.000,0
1507860315.986,825.986,817.624,841.956,836.404,0.000,0.000,0
1507860315.988,844.081,821.051,844.149,838.666,0.000,0.000,0
1507860315.990,872.319,820.708,845.794,851.346,0.000,0.000,0
1507860315.992,875.609,819.680,847.439,843.190,0.000,0.000,0
1507860315.994,851.209,817.829,846.137,830.372,0.000,0.000,0
