timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1508373967.660,833.799,812.552,840.996,828.659,0.000,0.000,0
1508373967.662,833.731,809.879,839.283,828.933,0.000,0.000,0
1508373967.664,845.588,812.209,841.339,834.759,0.000,0.000,0
1508373967.666,852.237,809.742,841.956,832.292,0.000,0.000,0
1508373967.668,857.377,810.084,840.105,829.344,0.000,0.000,0
1508373967.670,850.798,811.249,841.613,827.014,0.000,0.000,0
1508373967.672,842.641,809.467,841.133,828.864,0.000,0.000,0
1508373967.674,836.541,808.097,840.379,830.921,0.000,0.000,0
1508373967.676,835.924,809.947,843.052,835.650,0.000,0.000,0
1508373967.678,834.416,812.483,845.383,836.130,0.000,0.000,0
1508373967.680,839.283,814.745,845.794,843.806,0.000,0.000,0
1508373967.682,842.230,812.072,844.355,844.423,0.000,0.000,0
1508373967.684,845.794,812.963,843.738,840.311,0.000,0.000,0
1508373967.686,840.516,812.757,839.420,824.067,0.000,0.000,0
1508373967.688,849.632,813.100,840.174,826.328,0.000,0.000,0
1508373967.690,857.240,812.757,841.407,833.251,0.000,0.000,0
1508373967.692,856.761,814.745,843.121,837.501,0.000,0.000,0
1508373967.694,847.645,818.720,844.149,842.230,0.000,0.000,0
1508373967.696,840.585,821.325,845.520,847.782,0.000,0.000,0
1508373967.698,840.722,819.269,843.875,851.346,0.000,0.000,0
1508373967.700,841.887,819.474,844.081,844.629,0.000,0.000,0
1508373967.702,838.392,815.293,842.778,830.647,0.000,0.000,0
1508373967.704,845.863,815.910,845.109,833.936,0.000,0.000,0
1508373967.706,849.358,814.334,841.956,831.538,0.000,0.000,0
1508373967.708,851.346,813.648,841.682,832.497,0.000,0.000,0
1508373967.710,851.072,813.854,843.806,834.828,0.000,0.000,0
1508373967.712,850.660,811.935,844.560,834.348,0.000,0.000,0
1508373967.714,849.975,810.153,843.395,843.052,0.000,0.000,0
1508373967.716,836.541,813.511,843.875,844.629,0.000,0.000,0
1508373967.718,824.067,813.032,845.726,843.327,0.000,0.000,0
1508373967.720,825.712,812.072,844.697,835.444,0.000,0.000,0
1508373967.722,834.622,813.237,844.834,836.678,0.000,0.000,0
1508373967.724,842.641,814.539,843.943,840.516,0.000,0.000,0
1508373967.726,850.660,813.923,843.532,840.791,0.000,0.000,0
1508373967.728,857.926,810.838,843.395,837.980,0.000,0.000,0
1508373967.730,863.409,808.302,842.504,845.177,0.000,0.000,0
1508373967.732,852.648,806.520,838.666,844.697,0.000,0.000,0
1508373967.734,838.117,807.822,838.529,841.887,0.000,0.000,0
1508373967.736,828.385,814.471,840.928,830.509,0.000,0.000,0
1508373967.738,828.316,819.406,843.327,833.868,0.000,0.000,0
1508373967.740,831.195,816.801,842.573,832.840,0.000,0.000,0
1508373967.742,840.928,811.661,845.177,833.525,0.000,0.000,0
1508373967.744,844.697,810.496,845.383,834.074,0.000,0.000,0
1508373967.746,852.922,812.483,843.601,832.086,0.000,0.000,0
1508373967.748,858.200,812.141,842.230,841.819,0.000,0.000,0
1508373967.750,853.676,813.511,842.915,841.133,0.000,0.000,0
1508373967.752,839.968,812.620,840.859,828.590,0.000,0.000,0
1508373967.754,839.351,813.785,842.436,827.768,0.000,0.000,0
