timestamps,TP9,FP1,FP2,TP10,n/a,n/a
1509076511.181,796.856,823.107,834.553,784.656,0.000,0.000
1509076511.181,782.120,816.116,826.328,782.668,0.000,0.000
1509076511.181,781.434,816.801,827.631,788.151,0.000,0.000
1509076511.181,804.601,820.982,835.376,806.520,0.000,0.000
1509076511.181,837.775,823.792,844.766,844.149,0.000,0.000
1509076511.208,880.818,823.244,852.374,884.725,0.000,0.000
1509076511.208,923.656,825.849,859.571,914.815,0.000,0.000
1509076511.208,933.595,832.086,861.010,922.080,0.000,0.000
1509076511.208,896.583,830.098,859.776,888.495,0.000,0.000
1509076511.208,848.124,823.792,848.878,840.928,0.000,0.000
1509076511.208,791.373,822.353,839.968,783.353,0.000,0.000
1509076511.208,773.826,819.337,832.977,768.617,0.000,0.000
1509076511.208,782.736,820.914,830.372,786.026,0.000,0.000
1509076511.208,808.165,823.724,836.747,808.234,0.000,0.000
1509076511.208,839.077,824.546,845.794,843.738,0.000,0.000
1509076511.208,879.036,824.546,851.277,880.887,0.000,0.000
1509076511.208,920.915,829.961,858.337,910.771,0.000,0.000
1509076511.215,927.221,832.292,860.530,916.460,0.000,0.000
1509076511.215,897.817,825.095,854.773,896.034,0.000,0.000
1509076511.215,840.448,814.334,845.520,835.513,0.000,0.000
1509076511.215,795.485,805.355,834.142,798.227,0.000,0.000
1509076511.239,773.758,799.872,829.824,787.946,0.000,0.000
1509076511.239,777.116,805.903,834.622,794.731,0.000,0.000
1509076511.239,803.504,815.910,839.900,813.717,0.000,0.000
1509076511.239,844.286,820.914,841.407,855.184,0.000,0.000
1509076511.239,883.217,824.067,850.181,886.507,0.000,0.000
1509076511.239,917.488,830.921,864.711,907.138,0.000,0.000
1509076511.239,925.096,834.416,867.110,915.500,0.000,0.000
1509076511.239,891.785,831.058,862.449,894.184,0.000,0.000
1509076511.239,844.081,820.091,848.673,846.685,0.000,0.000
1509076511.239,794.114,811.455,839.283,798.775,0.000,0.000
1509076511.239,773.415,808.988,834.828,785.958,0.000,0.000
1509076511.239,782.188,812.552,834.074,793.155,0.000,0.000
1509076511.249,810.907,817.007,838.049,812.483,0.000,0.000
