timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1510777390.596,836.198,800.352,838.734,834.074,0.000,0.000,0
1510777390.598,837.638,800.214,838.392,836.198,0.000,0.000,0
1510777390.600,830.921,803.299,839.557,826.123,0.000,0.000,0
1510777390.602,818.172,800.694,837.912,797.130,0.000,0.000,0
1510777390.604,805.492,798.569,836.198,779.995,0.000,0.000,0
1510777390.606,800.489,794.251,832.634,775.266,0.000,0.000,0
1510777390.608,810.358,798.844,837.021,789.316,0.000,0.000,0
1510777390.610,819.543,802.956,839.625,805.081,0.000,0.000,0
1510777390.612,827.357,804.601,840.928,816.870,0.000,0.000,0
1510777390.614,835.581,804.121,841.682,829.893,0.000,0.000,0
1510777390.616,842.504,804.121,841.407,840.585,0.000,0.000,0
1510777390.618,834.896,801.996,840.448,838.117,0.000,0.000,0
1510777390.620,826.260,801.722,839.900,820.091,0.000,0.000,0
1510777390.622,813.169,801.242,837.432,794.388,0.000,0.000,0
1510777390.624,796.170,798.638,834.142,777.185,0.000,0.000,0
1510777390.626,792.743,796.513,833.799,780.612,0.000,0.000,0
1510777390.628,800.694,796.376,832.360,790.413,0.000,0.000,0
1510777390.630,810.153,797.473,832.703,803.162,0.000,0.000,0
1510777390.632,826.123,799.049,837.021,816.733,0.000,0.000,0
1510777390.634,843.258,796.239,837.158,820.160,0.000,0.000,0
1510777390.636,843.806,794.457,837.364,827.494,0.000,0.000,0
1510777390.638,833.525,792.332,835.307,826.397,0.000,0.000,0
1510777390.640,822.010,794.526,836.815,819.817,0.000,0.000,0
1510777390.642,808.782,796.376,841.270,812.141,0.000,0.000,0
1510777390.644,802.819,796.308,841.750,803.093,0.000,0.000,0
1510777390.646,803.162,795.074,842.093,801.105,0.000,0.000,0
1510777390.648,806.383,792.538,842.847,800.557,0.000,0.000,0
1510777390.650,811.866,793.086,843.464,804.464,0.000,0.000,0
1510777390.652,813.580,791.030,842.230,813.100,0.000,0.000,0
1510777390.654,820.503,790.893,842.641,823.450,0.000,0.000,0
1510777390.656,819.817,790.824,843.532,828.659,0.000,0.000,0
1510777390.658,823.107,790.961,843.327,817.692,0.000,0.000,0
1510777390.660,814.745,787.192,842.778,808.645,0.000,0.000,0
1510777390.662,806.040,789.179,843.806,806.315,0.000,0.000,0
1510777390.664,798.981,790.756,844.629,797.404,0.000,0.000,0
1510777390.666,803.916,794.594,847.508,794.663,0.000,0.000,0
1510777390.668,808.576,794.800,848.741,787.397,0.000,0.000,0
1510777390.670,815.910,794.868,850.455,793.292,0.000,0.000,0
1510777390.672,821.531,792.058,848.056,805.286,0.000,0.000,0
1510777390.674,822.764,794.594,848.262,825.643,0.000,0.000,0
1510777390.676,821.256,795.348,846.754,835.787,0.000,0.000,0
1510777390.678,824.135,794.251,846.685,837.295,0.000,0.000,0
1510777390.680,825.300,796.239,848.124,825.986,0.000,0.000,0
1510777390.682,816.116,797.199,849.016,812.278,0.000,0.000,0
1510777390.684,806.589,794.868,847.645,794.183,0.000,0.000,0
1510777390.686,798.158,793.497,845.588,785.889,0.000,0.000,0
1510777390.688,794.800,789.865,840.037,783.353,0.000,0.000,0
1510777390.690,801.654,791.784,841.270,793.086,0.000,0.000,0
1510777390.692,813.169,795.142,844.560,807.343,0.000,0.000,0
1510777390.694,824.478,795.485,841.887,819.886,0.000,0.000,0
1510777390.696,826.260,795.759,839.694,832.360,0.000,0.000,0
1510777390.698,826.740,794.526,838.049,833.936,0.000,0.000,0
1510777390.700,824.752,795.828,838.803,826.123,0.000,0.000,0
1510777390.702,808.988,797.747,838.529,796.582,0.000,0.000,0
1510777390.704,799.529,798.501,839.625,780.406,0.000,0.000,0
1510777390.706,793.429,796.513,838.460,778.693,0.000,0.000,0
1510777390.708,802.339,800.214,840.037,789.933,0.000,0.000,0
1510777390.710,819.817,800.009,839.488,801.380,0.000,0.000,0
1510777390.712,828.522,799.049,838.460,811.112,0.000,0.000,0
1510777390.714,823.518,799.049,838.323,823.587,0.000,0.000,0
1510777390.716,827.151,800.009,840.037,834.074,0.000,0.000,0
1510777390.718,828.385,800.214,839.009,818.652,0.000,0.000,0
1510777390.720,823.381,802.271,835.102,805.355,0.000,0.000,0
1510777390.722,809.810,798.775,833.525,792.949,0.000,0.000,0
1510777390.724,802.408,798.432,834.074,787.466,0.000,0.000,0
1510777390.726,800.626,799.529,834.965,788.837,0.000,0.000,0
1510777390.728,805.766,800.557,835.719,793.909,0.000,0.000,0
1510777390.730,806.315,801.517,835.787,801.996,0.000,0.000,0
1510777390.732,814.197,803.162,837.912,814.334,0.000,0.000,0
1510777390.734,824.752,804.738,840.379,831.332,0.000,0.000,0
1510777390.736,826.945,804.738,841.133,844.286,0.000,0.000,0
1510777390.738,823.518,803.162,838.803,839.762,0.000,0.000,0
1510777390.740,823.998,805.492,841.339,825.232,0.000,0.000,0
1510777390.742,811.318,804.875,840.379,800.900,0.000,0.000,0
1510777390.744,807.137,803.779,838.117,781.983,0.000,0.000,0
1510777390.746,809.193,802.613,836.404,779.652,0.000,0.000,0
1510777390.748,811.044,804.944,838.049,791.647,0.000,0.000,0
1510777390.750,812.689,806.109,838.803,806.452,0.000,0.000,0
1510777390.752,820.982,807.754,840.996,818.652,0.000,0.000,0
1510777390.754,831.675,805.835,837.706,815.362,0.000,0.000,0
1510777390.756,841.819,806.452,836.061,821.188,0.000,0.000,0
1510777390.758,837.706,805.835,835.787,824.546,0.000,0.000,0
1510777390.760,825.849,807.068,837.980,819.063,0.000,0.000,0
1510777390.762,821.599,807.137,838.597,810.564,0.000,0.000,0
1510777390.764,812.072,808.165,836.473,799.186,0.000,0.000,0
1510777390.766,807.617,808.371,835.650,797.541,0.000,0.000,0
1510777390.768,808.371,809.330,836.473,795.828,0.000,0.000,0
1510777390.770,813.237,809.673,835.650,792.675,0.000,0.000,0
1510777390.772,812.141,806.040,831.880,798.706,0.000,0.000,0
1510777390.774,823.792,807.206,835.033,819.749,0.000,0.000,0
1510777390.776,837.021,809.193,835.102,832.977,0.000,0.000,0
1510777390.778,844.012,808.645,835.239,837.501,0.000,0.000,0
1510777390.780,838.049,810.221,837.432,829.893,0.000,0.000,0
1510777390.782,822.010,811.935,837.089,818.241,0.000,0.000,0
1510777390.784,801.928,811.661,840.654,798.501,0.000,0.000,0
1510777390.786,796.993,812.552,842.504,789.796,0.000,0.000,0
1510777390.788,802.065,810.358,839.009,787.809,0.000,0.000,0
1510777390.790,812.894,811.249,838.049,798.364,0.000,0.000,0
1510777390.792,822.285,810.770,838.803,812.552,0.000,0.000,0
1510777390.794,840.928,809.125,839.077,825.437,0.000,0.000,0
1510777390.796,846.891,809.262,837.775,838.049,0.000,0.000,0
1510777390.798,840.996,811.455,837.912,840.311,0.000,0.000,0
1510777390.800,837.706,813.374,839.488,832.840,0.000,0.000,0
1510777390.802,828.179,812.552,839.146,806.109,0.000,0.000,0
1510777390.804,814.128,812.963,841.133,789.042,0.000,0.000,0
1510777390.806,801.105,809.810,840.037,779.721,0.000,0.000,0
1510777390.808,805.355,809.742,840.174,789.522,0.000,0.000,0
1510777390.810,814.608,811.112,840.928,802.476,0.000,0.000,0
1510777390.812,826.328,809.742,840.791,817.075,0.000,0.000,0
1510777390.814,834.553,809.742,837.980,826.260,0.000,0.000,0
1510777390.816,840.105,809.262,839.146,838.255,0.000,0.000,0
1510777390.818,840.928,811.044,841.407,841.270,0.000,0.000,0
1510777390.820,831.332,808.439,837.912,816.116,0.000,0.000,0
1510777390.822,817.075,807.137,834.553,798.364,0.000,0.000,0
1510777390.824,803.093,806.657,833.731,788.494,0.000,0.000,0
1510777390.826,801.722,806.040,835.239,788.768,0.000,0.000,0
1510777390.828,804.738,806.863,834.759,792.469,0.000,0.000,0
1510777390.830,809.330,808.439,834.005,801.585,0.000,0.000,0
1510777390.832,818.652,809.879,834.622,807.000,0.000,0.000,0
1510777390.834,835.170,810.701,835.856,812.894,0.000,0.000,0
1510777390.836,842.984,810.838,836.267,820.640,0.000,0.000,0
1510777390.838,837.089,809.056,833.594,823.313,0.000,0.000,0
1510777390.840,826.466,810.221,834.211,822.490,0.000,0.000,0
1510777390.842,815.156,811.181,836.541,816.459,0.000,0.000,0
1510777390.844,805.835,811.866,836.198,802.888,0.000,0.000,0
1510777390.846,807.068,813.443,833.799,796.719,0.000,0.000,0
1510777390.848,809.673,812.072,834.279,797.953,0.000,0.000,0
1510777390.850,816.047,811.866,837.295,802.750,0.000,0.000,0
1510777390.852,824.341,809.193,836.198,802.613,0.000,0.000,0
1510777390.854,829.687,808.919,833.251,811.729,0.000,0.000,0
1510777390.856,831.949,808.508,832.566,827.357,0.000,0.000,0
1510777390.858,832.429,808.439,833.525,832.566,0.000,0.000,0
1510777390.860,828.111,806.931,833.594,826.534,0.000,0.000,0
1510777390.862,818.172,808.028,834.074,813.511,0.000,0.000,0
1510777390.864,811.112,811.866,833.799,803.162,0.000,0.000,0
1510777390.866,805.424,813.648,834.142,795.279,0.000,0.000,0
1510777390.868,806.794,813.032,835.993,788.083,0.000,0.000,0
1510777390.870,816.253,811.866,836.884,785.752,0.000,0.000,0
1510777390.872,820.708,809.879,834.279,793.223,0.000,0.000,0
1510777390.874,826.808,813.032,836.815,814.745,0.000,0.000,0
1510777390.876,838.666,813.032,838.117,829.070,0.000,0.000,0
1510777390.878,844.766,812.689,840.448,831.538,0.000,0.000,0
1510777390.880,837.295,814.402,839.968,825.163,0.000,0.000,0
1510777390.882,832.703,816.390,841.819,814.882,0.000,0.000,0
1510777390.884,819.954,815.705,841.613,789.179,0.000,0.000,0
1510777390.886,810.701,815.293,842.161,782.325,0.000,0.000,0
1510777390.888,802.956,813.854,840.242,785.889,0.000,0.000,0
1510777390.890,806.040,816.184,842.847,799.598,0.000,0.000,0
1510777390.892,816.733,816.664,842.367,814.677,0.000,0.000,0
1510777390.894,828.316,815.156,842.436,826.877,0.000,0.000,0
1510777390.896,839.214,814.060,842.847,842.298,0.000,0.000,0
1510777390.898,835.787,811.661,842.161,844.012,0.000,0.000,0
1510777390.900,825.917,812.209,843.669,835.787,0.000,0.000,0
1510777390.902,822.833,815.156,847.165,823.655,0.000,0.000,0
1510777390.904,812.278,813.648,845.520,791.990,0.000,0.000,0
1510777390.906,806.931,812.415,844.903,784.519,0.000,0.000,0
1510777390.908,799.872,811.524,843.875,789.316,0.000,0.000,0
1510777390.910,797.267,810.975,842.504,799.872,0.000,0.000,0
1510777390.912,814.060,811.181,837.638,812.552,0.000,0.000,0
1510777390.914,823.518,809.604,834.348,819.132,0.000,0.000,0
1510777390.916,829.207,810.290,835.581,830.784,0.000,0.000,0
1510777390.918,828.590,810.770,837.089,827.357,0.000,0.000,0
1510777390.920,826.740,810.084,838.666,814.402,0.000,0.000,0
1510777390.922,816.047,806.246,834.622,797.062,0.000,0.000,0
1510777390.924,809.330,810.290,835.719,788.837,0.000,0.000,0
1510777390.926,799.872,810.016,834.759,784.587,0.000,0.000,0
1510777390.928,797.062,808.988,835.170,789.385,0.000,0.000,0
1510777390.930,803.984,810.358,835.513,800.694,0.000,0.000,0
1510777390.932,813.237,811.935,834.896,809.673,0.000,0.000,0
1510777390.934,823.450,811.935,836.473,820.640,0.000,0.000,0
1510777390.936,830.578,810.975,835.787,819.200,0.000,0.000,0
1510777390.938,829.002,812.003,837.775,821.531,0.000,0.000,3
1510777390.940,821.325,809.193,835.719,812.209,0.000,0.000,0
1510777390.942,820.365,808.371,836.610,807.548,0.000,0.000,0
1510777390.944,813.511,809.125,834.828,796.170,0.000,0.000,0
1510777390.946,802.065,810.290,831.880,783.353,0.000,0.000,0
1510777390.948,804.464,814.677,833.045,786.986,0.000,0.000,0
1510777390.950,805.561,816.253,831.400,783.833,0.000,0.000,0
1510777390.952,806.863,813.923,831.126,793.703,0.000,0.000,0
1510777390.954,816.596,811.866,836.541,806.520,0.000,0.000,0
1510777390.956,824.135,808.713,837.295,812.278,0.000,0.000,0
1510777390.958,823.998,807.206,834.828,805.012,0.000,0.000,0
1510777390.960,813.443,808.165,832.154,797.473,0.000,0.000,0
1510777390.962,804.121,809.193,831.400,790.002,0.000,0.000,0
1510777390.964,800.283,810.838,833.045,789.453,0.000,0.000,0
1510777390.966,790.619,810.633,834.622,786.780,0.000,0.000,0
1510777390.968,789.316,810.633,836.541,780.954,0.000,0.000,0
1510777390.970,804.464,812.072,837.980,786.095,0.000,0.000,0
1510777390.972,812.141,812.346,834.828,794.731,0.000,0.000,0
1510777390.974,827.494,813.923,837.295,813.237,0.000,0.000,0
1510777390.976,833.251,813.511,837.364,828.590,0.000,0.000,0
1510777390.978,830.030,812.483,838.597,830.509,0.000,0.000,0
1510777390.980,826.397,816.801,838.049,824.478,0.000,0.000,0
1510777390.982,828.248,820.434,838.460,817.829,0.000,0.000,0
1510777390.984,822.147,820.640,838.323,804.670,0.000,0.000,0
1510777390.986,813.717,820.297,837.706,785.547,0.000,0.000,0
1510777390.988,809.673,818.446,839.009,780.338,0.000,0.000,0
1510777390.990,815.842,816.664,838.734,789.316,0.000,0.000,0
1510777390.992,818.241,817.761,840.791,804.601,0.000,0.000,0
1510777390.994,824.546,817.281,841.819,823.176,0.000,0.000,0
1510777390.996,840.105,817.007,840.654,835.719,0.000,0.000,0
1510777390.998,842.915,817.075,840.928,833.045,0.000,0.000,0
1510777391.000,827.219,817.144,840.791,820.228,0.000,0.000,0
1510777391.002,812.552,812.415,837.775,804.601,0.000,0.000,0
1510777391.004,803.162,811.935,837.432,796.445,0.000,0.000,0
1510777391.006,801.242,813.306,840.242,798.227,0.000,0.000,0
1510777391.008,803.504,814.265,837.980,800.146,0.000,0.000,0
1510777391.010,806.040,815.293,836.815,801.585,0.000,0.000,0
1510777391.012,815.156,812.346,839.557,812.620,0.000,0.000,0
1510777391.014,827.905,812.620,840.105,824.341,0.000,0.000,0
1510777391.016,839.762,813.032,839.831,839.420,0.000,0.000,0
1510777391.018,842.436,815.088,840.448,847.165,0.000,0.000,0
1510777391.020,831.263,817.487,843.327,841.682,0.000,0.000,0
1510777391.022,816.116,812.278,839.968,806.794,0.000,0.000,0
1510777391.024,803.573,809.125,834.348,781.777,0.000,0.000,0
1510777391.026,808.165,810.496,834.279,781.160,0.000,0.000,0
1510777391.028,813.648,812.003,835.650,786.026,0.000,0.000,0
1510777391.030,821.188,811.249,835.581,791.784,0.000,0.000,0
1510777391.032,824.204,809.947,835.581,791.921,0.000,0.000,0
1510777391.034,819.200,807.822,834.211,798.706,0.000,0.000,0
1510777391.036,823.039,805.835,828.727,809.879,0.000,0.000,0
1510777391.038,829.139,803.916,827.151,820.845,0.000,0.000,0
1510777391.040,823.518,803.230,830.509,825.026,0.000,0.000,0
1510777391.042,803.436,800.763,830.509,811.524,0.000,0.000,0
1510777391.044,798.981,801.448,830.647,797.747,0.000,0.000,0
1510777391.046,795.005,801.448,829.207,790.893,0.000,0.000,0
1510777391.048,791.921,802.682,827.425,791.578,0.000,0.000,0
1510777391.050,791.441,801.722,825.643,792.058,0.000,0.000,0
1510777391.052,799.803,803.093,828.042,802.202,0.000,0.000,0
1510777391.054,804.395,801.448,827.014,797.678,0.000,0.000,0
1510777391.056,815.842,801.722,827.357,809.536,0.000,0.000,0
1510777391.058,821.942,799.872,824.821,813.991,0.000,0.000,0
1510777391.060,822.079,799.323,825.986,812.072,0.000,0.000,0
1510777391.062,811.524,800.214,826.808,800.763,0.000,0.000,0
1510777391.064,794.388,801.517,825.712,788.837,0.000,0.000,0
1510777391.066,787.534,803.162,826.740,783.148,0.000,0.000,0
1510777391.068,795.622,799.803,823.587,769.165,0.000,0.000,0
1510777391.070,805.218,800.009,826.397,776.568,0.000,0.000,0
1510777391.072,805.629,797.884,825.232,784.793,0.000,0.000,0
1510777391.074,811.935,801.928,827.836,804.053,0.000,0.000,0
1510777391.076,823.587,801.380,826.466,819.749,0.000,0.000,0
1510777391.078,826.534,800.557,827.288,826.671,0.000,0.000,0
1510777391.080,818.172,800.420,828.179,823.176,0.000,0.000,0
1510777391.082,816.390,800.146,827.631,804.875,0.000,0.000,0
1510777391.084,807.960,801.722,827.631,794.663,0.000,0.000,0
1510777391.086,800.283,801.928,828.796,778.761,0.000,0.000,0
1510777391.088,803.710,803.162,830.647,775.540,0.000,0.000,0
1510777391.090,801.174,800.900,829.481,779.995,0.000,0.000,0
1510777391.092,809.536,804.053,828.042,796.787,0.000,0.000,0
1510777391.094,820.914,806.452,825.643,812.072,0.000,0.000,0
1510777391.096,832.840,806.452,826.466,821.325,0.000,0.000,0
1510777391.098,836.130,808.371,828.385,821.873,0.000,0.000,0
1510777391.100,825.712,806.657,826.671,807.206,0.000,0.000,0
1510777391.102,816.184,805.561,826.397,793.634,0.000,0.000,0
1510777391.104,803.779,806.109,826.054,784.861,0.000,0.000,0
1510777391.106,797.884,806.177,826.260,780.954,0.000,0.000,0
1510777391.108,798.981,807.068,825.300,781.777,0.000,0.000,0
1510777391.110,799.255,802.888,822.901,782.325,0.000,0.000,0
1510777391.112,808.028,801.928,824.478,792.469,0.000,0.000,0
1510777391.114,819.200,802.065,826.328,806.452,0.000,0.000,0
1510777391.116,825.369,801.996,825.849,820.845,0.000,0.000,0
1510777391.118,829.687,802.339,825.026,823.792,0.000,0.000,0
1510777391.120,827.082,802.750,824.272,808.576,0.000,0.000,0
1510777391.122,815.705,802.888,825.643,789.933,0.000,0.000,0
1510777391.124,798.364,802.408,825.300,774.717,0.000,0.000,0
1510777391.126,793.360,802.134,825.849,770.879,0.000,0.000,0
1510777391.128,799.940,801.037,822.970,772.935,0.000,0.000,0
1510777391.130,801.928,800.352,818.172,777.322,0.000,0.000,0
1510777391.132,803.230,802.339,819.200,787.260,0.000,0.000,0
1510777391.134,808.988,801.654,818.583,788.768,0.000,0.000,0
1510777391.136,816.870,800.831,820.297,805.903,0.000,0.000,0
1510777391.138,821.119,799.118,818.172,812.209,0.000,0.000,0
1510777391.140,817.692,801.722,821.051,814.745,0.000,0.000,0
1510777391.142,810.153,802.750,822.216,800.009,0.000,0.000,0
1510777391.144,808.988,804.875,823.792,787.534,0.000,0.000,0
1510777391.146,802.956,805.835,825.712,781.983,0.000,0.000,0
1510777391.148,802.613,807.754,826.534,781.503,0.000,0.000,0
1510777391.150,802.271,804.944,825.163,784.450,0.000,0.000,0
1510777391.152,814.882,806.040,825.712,788.288,0.000,0.000,0
1510777391.154,823.107,806.726,824.889,791.098,0.000,0.000,0
1510777391.156,824.683,804.258,823.313,805.492,0.000,0.000,0
1510777391.158,833.251,805.903,824.341,818.583,0.000,0.000,0
1510777391.160,830.578,804.395,825.300,820.023,0.000,0.000,0
1510777391.162,814.882,803.230,825.369,808.439,0.000,0.000,0
1510777391.164,802.956,804.944,826.260,800.968,0.000,0.000,0
1510777391.165,792.264,804.190,827.699,792.675,0.000,0.000,0
1510777391.167,790.345,802.271,826.671,786.712,0.000,0.000,0
1510777391.169,797.267,803.641,826.877,791.647,0.000,0.000,0
1510777391.171,807.822,807.274,828.316,800.146,0.000,0.000,0
1510777391.173,816.321,805.972,828.590,809.536,0.000,0.000,0
1510777391.175,822.079,802.339,828.042,819.132,0.000,0.000,0
1510777391.177,822.010,805.835,828.111,827.768,0.000,0.000,0
1510777391.179,828.933,807.548,829.070,825.780,0.000,0.000,0
1510777391.181,826.397,808.028,829.755,813.923,0.000,0.000,0
1510777391.183,810.496,808.508,829.824,800.077,0.000,0.000,0
1510777391.185,800.763,808.371,831.469,789.042,0.000,0.000,0
1510777391.187,791.304,805.218,829.413,774.580,0.000,0.000,0
1510777391.189,791.921,804.601,829.824,778.350,0.000,0.000,0
1510777391.191,799.460,803.916,828.590,789.865,0.000,0.000,0
1510777391.193,811.455,804.944,830.372,808.302,0.000,0.000,0
1510777391.195,820.365,804.738,831.949,826.808,0.000,0.000,0
1510777391.197,820.365,805.629,832.703,826.740,0.000,0.000,0
1510777391.199,820.571,805.835,830.441,811.455,0.000,0.000,0
1510777391.201,808.782,804.464,827.768,795.211,0.000,0.000,0
1510777391.203,795.485,803.847,829.413,788.357,0.000,0.000,0
1510777391.205,799.460,807.548,833.525,786.506,0.000,0.000,0
1510777391.207,803.025,807.548,832.703,789.042,0.000,0.000,0
1510777391.209,804.807,806.794,830.304,791.852,0.000,0.000,0
1510777391.211,813.306,805.766,831.949,802.408,0.000,0.000,0
1510777391.213,818.515,806.109,833.662,816.253,0.000,0.000,0
1510777391.215,827.219,807.960,833.251,824.752,0.000,0.000,0
1510777391.217,836.061,811.866,835.307,830.921,0.000,0.000,0
1510777391.219,831.606,809.536,833.251,818.995,0.000,0.000,0
1510777391.221,820.228,808.576,834.279,805.218,0.000,0.000,0
1510777391.223,808.645,807.617,836.404,796.308,0.000,0.000,0
1510777391.225,799.255,806.109,836.678,792.195,0.000,0.000,0
1510777391.227,799.803,806.726,836.404,791.921,0.000,0.000,0
1510777391.229,802.545,806.520,837.432,795.896,0.000,0.000,0
1510777391.231,813.032,807.960,836.884,804.601,0.000,0.000,0
1510777391.233,824.821,809.947,836.884,815.430,0.000,0.000,0
1510777391.235,828.659,808.851,836.884,819.406,0.000,0.000,0
1510777391.237,828.111,807.274,836.747,825.780,0.000,0.000,0
1510777391.239,823.861,807.685,839.077,827.905,0.000,0.000,0
1510777391.241,815.019,807.822,839.694,815.568,0.000,0.000,0
1510777391.243,810.016,807.891,838.666,804.944,0.000,0.000,0
1510777391.245,817.898,809.262,839.146,798.227,0.000,0.000,0
1510777391.247,806.383,809.467,840.516,800.557,0.000,0.000,0
1510777391.249,801.517,810.496,840.379,804.738,0.000,0.000,0
1510777391.251,804.053,806.246,835.650,801.517,0.000,0.000,0
1510777391.253,811.524,806.931,835.719,814.677,0.000,0.000,0
1510777391.255,819.954,805.492,834.142,827.768,0.000,0.000,0
1510777391.257,834.690,807.137,834.485,838.940,0.000,0.000,0
1510777391.259,833.731,807.548,835.033,836.610,0.000,0.000,0
1510777391.261,822.764,807.960,834.005,825.232,0.000,0.000,0
1510777391.263,807.617,808.919,834.553,808.508,0.000,0.000,0
1510777391.265,802.065,810.701,835.444,796.924,0.000,0.000,0
1510777391.267,798.706,807.960,832.154,783.011,0.000,0.000,0
1510777391.269,799.323,806.863,830.715,782.120,0.000,0.000,0
1510777391.271,804.190,805.355,831.195,791.304,0.000,0.000,0
1510777391.273,819.680,808.371,834.622,812.620,0.000,0.000,0
1510777391.275,824.478,806.863,835.719,828.179,0.000,0.000,0
1510777391.277,837.638,808.097,835.856,838.734,0.000,0.000,0
1510777391.279,841.065,807.891,836.541,834.828,0.000,0.000,0
1510777391.281,829.893,809.536,838.049,821.942,0.000,0.000,0
1510777391.283,816.321,807.685,836.473,791.578,0.000,0.000,0
1510777391.285,802.065,805.492,836.678,778.350,0.000,0.000,0
1510777391.287,793.155,805.286,835.444,777.185,0.000,0.000,0
