timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1510777822.958,839.831,788.562,881.093,844.972,0.000,0.000,0
1510777822.960,835.376,789.316,880.956,839.214,0.000,0.000,0
1510777822.962,839.831,788.974,881.367,845.931,0.000,0.000,0
1510777822.964,843.875,787.603,879.996,838.255,0.000,0.000,0
1510777822.966,844.903,787.740,880.476,842.504,0.000,0.000,0
1510777822.968,843.532,788.905,878.968,845.451,0.000,0.000,0
1510777822.970,840.585,787.740,879.859,850.660,0.000,0.000,0
1510777822.972,839.283,787.534,876.226,851.414,0.000,0.000,0
1510777822.974,838.460,786.301,875.952,846.617,0.000,0.000,0
1510777822.976,833.045,786.369,875.198,841.750,0.000,0.000,0
1510777822.978,828.453,785.410,875.541,836.061,0.000,0.000,0
1510777822.980,838.392,785.547,874.581,837.912,0.000,0.000,0
1510777822.982,845.177,783.559,875.541,838.529,0.000,0.000,0
1510777822.984,841.065,781.366,878.145,838.666,0.000,0.000,0
1510777822.986,838.529,785.478,877.049,837.158,0.000,0.000,0
1510777822.988,830.509,786.712,873.416,830.509,0.000,0.000,0
1510777822.990,829.070,787.260,873.005,831.195,0.000,0.000,0
1510777822.992,831.880,784.930,877.391,843.943,0.000,0.000,0
1510777822.994,825.986,781.983,877.391,841.407,0.000,0.000,0
1510777822.996,826.603,782.188,876.158,834.005,0.000,0.000,0
1510777822.998,824.615,783.765,876.432,829.276,0.000,0.000,0
1510777823.000,825.986,786.780,876.295,827.562,0.000,0.000,0
1510777823.002,823.176,786.164,875.883,831.332,0.000,0.000,0
1510777823.004,825.849,784.861,874.581,838.323,0.000,0.000,0
1510777823.006,827.151,783.902,872.731,833.936,0.000,0.000,0
1510777823.008,829.413,784.313,874.239,836.335,0.000,0.000,0
1510777823.010,836.678,784.656,871.223,842.641,0.000,0.000,0
1510777823.012,839.077,788.220,869.783,847.713,0.000,0.000,0
1510777823.014,831.263,788.562,867.590,843.395,0.000,0.000,0
1510777823.016,825.026,787.329,869.920,834.553,0.000,0.000,0
1510777823.018,817.966,784.519,869.783,835.239,0.000,0.000,0
1510777823.020,823.655,785.135,870.537,840.791,0.000,0.000,0
1510777823.022,822.627,786.712,869.098,839.351,0.000,0.000,0
1510777823.024,821.531,789.453,866.219,841.202,0.000,0.000,0
1510777823.026,818.926,788.357,867.933,832.429,0.000,0.000,0
1510777823.028,822.079,781.708,872.182,834.759,0.000,0.000,0
1510777823.030,840.379,788.014,871.977,841.407,0.000,0.000,0
1510777823.032,845.109,787.877,867.453,834.759,0.000,0.000,0
1510777823.034,834.074,783.833,868.687,830.509,0.000,0.000,0
1510777823.036,824.067,783.490,870.606,825.643,0.000,0.000,0
1510777823.038,821.873,783.559,871.497,828.179,0.000,0.000,0
1510777823.040,826.671,783.902,872.936,831.606,0.000,0.000,0
1510777823.042,830.509,781.914,874.718,833.799,0.000,0.000,0
1510777823.044,833.799,780.543,875.198,835.513,0.000,0.000,0
1510777823.046,826.808,779.721,875.267,828.933,0.000,0.000,0
1510777823.048,825.506,784.381,872.114,831.195,0.000,0.000,0
1510777823.050,824.546,788.425,873.416,834.142,0.000,0.000,0
1510777823.052,832.223,789.522,874.444,835.444,0.000,0.000,0
1510777823.054,836.130,784.039,877.117,834.759,0.000,0.000,0
1510777823.056,832.703,781.983,877.186,840.037,0.000,0.000,0
1510777823.058,828.111,780.132,874.033,843.669,0.000,0.000,0
1510777823.060,832.154,782.257,872.936,842.984,0.000,0.000,0
1510777823.062,841.682,784.244,877.666,838.392,0.000,0.000,0
1510777823.064,838.529,785.410,881.298,831.606,0.000,0.000,0
1510777823.066,827.768,788.014,880.407,823.381,0.000,0.000,0
1510777823.068,821.668,785.547,880.750,824.615,0.000,0.000,0
1510777823.070,824.204,789.042,883.012,833.251,0.000,0.000,0
1510777823.072,826.603,788.014,881.641,834.485,0.000,0.000,0
1510777823.074,826.123,788.083,882.943,834.348,0.000,0.000,0
1510777823.076,827.562,789.728,884.177,837.158,0.000,0.000,0
1510777823.078,825.506,788.631,883.492,829.961,0.000,0.000,0
1510777823.080,824.821,786.506,883.217,824.683,0.000,0.000,0
1510777823.082,828.248,786.506,882.943,833.320,0.000,0.000,0
1510777823.084,831.675,786.849,883.971,843.806,0.000,0.000,0
1510777823.086,831.469,792.332,881.915,838.186,0.000,0.000,0
1510777823.088,825.506,786.917,883.834,834.279,0.000,0.000,0
1510777823.090,826.534,780.406,886.096,839.694,0.000,0.000,0
1510777823.092,830.578,782.531,882.395,846.274,0.000,0.000,0
1510777823.094,829.755,783.765,883.423,853.950,0.000,0.000,0
1510777823.096,838.186,786.506,884.451,852.374,0.000,0.000,0
1510777823.098,844.149,788.562,885.274,843.395,0.000,0.000,0
1510777823.100,842.710,789.591,885.548,843.327,0.000,0.000,0
1510777823.102,839.077,785.889,886.781,849.221,0.000,0.000,0
1510777823.104,834.828,786.438,884.725,850.181,0.000,0.000,0
1510777823.106,838.186,789.385,879.311,843.738,0.000,0.000,0
1510777823.108,848.124,785.478,877.254,845.040,0.000,0.000,0
1510777823.110,845.863,782.531,878.419,846.617,0.000,0.000,0
1510777823.112,841.202,781.983,880.133,851.003,0.000,0.000,0
1510777823.114,836.335,782.120,879.653,841.476,0.000,0.000,0
1510777823.116,837.501,782.394,880.133,842.161,0.000,0.000,0
1510777823.118,836.678,776.773,879.996,846.891,0.000,0.000,0
1510777823.120,840.448,774.649,880.270,852.922,0.000,0.000,0
1510777823.122,834.690,775.677,879.448,841.682,0.000,0.000,0
1510777823.124,830.441,778.967,879.653,835.856,0.000,0.000,0
1510777823.126,834.416,779.172,880.133,841.613,0.000,0.000,0
1510777823.128,836.335,775.540,881.504,845.588,0.000,0.000,0
1510777823.130,838.255,777.733,880.407,848.399,0.000,0.000,0
1510777823.132,836.335,781.366,878.625,840.379,0.000,0.000,0
1510777823.134,837.226,784.793,874.307,841.065,0.000,0.000,0
1510777823.136,840.242,786.849,875.815,842.093,0.000,0.000,0
1510777823.138,836.815,783.628,876.637,837.158,0.000,0.000,0
1510777823.140,834.348,780.886,875.404,833.594,0.000,0.000,0
1510777823.142,830.852,779.789,873.416,833.799,0.000,0.000,0
1510777823.144,836.404,778.076,874.718,836.130,0.000,0.000,0
1510777823.146,842.161,780.132,876.363,835.856,0.000,0.000,0
1510777823.148,837.295,780.132,878.625,838.529,0.000,0.000,0
1510777823.150,834.005,782.051,876.295,840.448,0.000,0.000,0
1510777823.152,844.149,785.067,874.444,849.358,0.000,0.000,0
