,0,1
0,[3],1510776532.77787
1,[1],1510776536.119745
2,[1],1510776536.804709
3,[1],1510776537.441182
4,[1],1510776538.025355
5,[1],1510776538.605192
6,[1],1510776539.186844
7,[1],1510776539.881371
8,[2],1510776540.436458
9,[1],1510776541.082988
10,[1],1510776541.66781
11,[1],1510776542.273976
12,[1],1510776542.845998
13,[1],1510776543.494241
14,[1],1510776544.021109
15,[1],1510776544.621473
16,[2],1510776545.189923
17,[1],1510776545.915035
18,[1],1510776546.445616
19,[1],1510776547.16442
20,[1],1510776547.7503
21,[1],1510776548.359282
22,[2],1510776549.040889
23,[2],1510776549.676176
24,[2],1510776550.384892
25,[1],1510776551.021595
26,[1],1510776551.64287
27,[2],1510776552.326985
28,[2],1510776553.05527
29,[1],1510776553.768331
30,[1],1510776554.346454
31,[1],1510776554.876774
32,[1],1510776555.499154
33,[1],1510776556.197136
34,[1],1510776556.845744
35,[1],1510776557.4415
36,[1],1510776557.977837
37,[1],1510776558.597012
38,[1],1510776559.29856
39,[2],1510776559.897454
40,[1],1510776560.548508
41,[2],1510776561.213209
42,[1],1510776561.842097
43,[2],1510776562.456968
44,[1],1510776563.142107
45,[1],1510776563.785682
46,[1],1510776564.341131
47,[1],1510776564.923476
48,[1],1510776565.516319
49,[1],1510776566.090754
50,[1],1510776566.68784
51,[1],1510776567.225252
52,[2],1510776567.79952
53,[1],1510776568.412892
54,[1],1510776569.133486
55,[1],1510776569.727073
56,[1],1510776570.287644
57,[2],1510776570.902769
58,[1],1510776571.553997
59,[2],1510776572.131574
60,[1],1510776572.858906
61,[1],1510776573.58285
62,[1],1510776574.234349
63,[1],1510776574.912772
64,[1],1510776575.601096
65,[2],1510776576.195171
66,[1],1510776576.768593
67,[1],1510776577.313381
68,[1],1510776577.855596
69,[1],1510776578.471044
70,[1],1510776579.148214
71,[1],1510776579.739608
72,[1],1510776580.428244
73,[2],1510776581.075909
74,[1],1510776581.786408
75,[2],1510776582.668696
76,[1],1510776583.366799
77,[1],1510776584.033907
78,[1],1510776584.627035
79,[2],1510776585.255366
80,[1],1510776585.799786
81,[2],1510776586.449274
82,[1],1510776587.151097
83,[1],1510776587.855086
84,[2],1510776588.38632
85,[1],1510776589.031932
86,[1],1510776589.752952
87,[1],1510776590.310367
88,[1],1510776590.939436
89,[1],1510776591.56632
90,[1],1510776592.13134
91,[2],1510776592.717781
92,[2],1510776593.301573
93,[1],1510776593.96222
94,[1],1510776594.597934
95,[1],1510776595.171708
96,[1],1510776595.79984
97,[1],1510776596.40962
98,[1],1510776597.124987
99,[1],1510776597.777116
100,[1],1510776598.459717
101,[1],1510776599.107064
102,[1],1510776599.765902
103,[1],1510776600.355192
104,[1],1510776600.939252
105,[1],1510776601.499249
106,[1],1510776602.056636
107,[1],1510776602.627908
108,[1],1510776603.288752
109,[1],1510776603.940755
110,[1],1510776604.573569
111,[2],1510776605.200206
112,[1],1510776605.888528
113,[1],1510776606.492416
114,[1],1510776607.207464
115,[1],1510776607.8088
116,[1],1510776608.477789
117,[1],1510776609.187224
118,[1],1510776609.755832
119,[1],1510776610.347193
120,[2],1510776611.059997
121,[1],1510776611.783024
122,[1],1510776612.451828
123,[1],1510776613.034403
124,[1],1510776613.602266
125,[1],1510776614.309367
126,[2],1510776614.996396
127,[1],1510776615.561088
128,[1],1510776616.239632
129,[1],1510776616.82198
130,[1],1510776617.553636
131,[2],1510776618.217724
132,[1],1510776618.747448
133,[1],1510776619.372107
134,[1],1510776619.999515
135,[1],1510776620.642341
136,[1],1510776621.197569
137,[2],1510776621.90081
138,[1],1510776622.558718
139,[2],1510776623.180965
140,[1],1510776623.715306
141,[1],1510776624.403798
142,[1],1510776624.977687
143,[1],1510776625.548431
144,[1],1510776626.152736
145,[1],1510776626.728273
146,[1],1510776627.397529
147,[1],1510776628.109896
148,[1],1510776628.711087
149,[2],1510776629.370142
150,[1],1510776629.928535
151,[1],1510776630.51392
152,[1],1510776631.177741
153,[1],1510776631.817088
154,[1],1510776632.403721
155,[1],1510776633.028839
156,[1],1510776633.731421
157,[2],1510776634.360968
158,[1],1510776634.973232
159,[2],1510776635.629847
160,[1],1510776636.232476
161,[1],1510776636.960797
162,[2],1510776637.653296
163,[1],1510776638.32004
164,[2],1510776639.029332
165,[1],1510776639.651949
166,[1],1510776640.243892
167,[2],1510776640.958817
168,[1],1510776641.585579
169,[1],1510776642.24751
170,[2],1510776642.844056
171,[1],1510776643.462818
172,[1],1510776644.138976
173,[1],1510776644.855019
174,[1],1510776645.450742
175,[1],1510776646.153512
176,[1],1510776646.844741
177,[1],1510776647.504951
178,[2],1510776648.147933
179,[1],1510776648.831192
180,[1],1510776649.366667
181,[1],1510776650.067124
182,[1],1510776650.793168
183,[1],1510776651.348285
