timestamps,TP9,FP1,FP2,TP10,n/a,n/a,Marker0
1510776531.586,820.023,816.184,856.761,835.239,0.000,0.000,0
1510776531.588,823.381,817.007,856.761,841.407,0.000,0.000,0
1510776531.590,822.559,816.253,857.446,831.812,0.000,0.000,0
1510776531.592,808.645,811.866,853.059,802.408,0.000,0.000,0
1510776531.594,803.367,812.894,854.910,786.232,0.000,0.000,0
1510776531.596,809.673,814.677,855.732,790.345,0.000,0.000,0
1510776531.598,818.583,817.555,856.007,800.763,0.000,0.000,0
1510776531.600,822.901,818.652,854.225,808.851,0.000,0.000,0
1510776531.602,816.870,816.047,853.402,817.007,0.000,0.000,0
1510776531.604,816.596,816.733,854.841,829.139,0.000,0.000,0
1510776531.606,827.288,818.104,856.624,843.190,0.000,0.000,0
1510776531.608,820.708,819.886,856.966,847.576,0.000,0.000,0
1510776531.610,814.677,818.995,857.103,835.170,0.000,0.000,0
1510776531.612,810.633,820.982,859.434,810.975,0.000,0.000,0
1510776531.614,805.561,819.200,860.188,789.522,0.000,0.000,0
1510776531.616,809.467,818.446,857.926,773.278,0.000,0.000,0
1510776531.618,816.116,817.829,857.515,781.229,0.000,0.000,0
1510776531.620,826.466,814.882,858.406,804.258,0.000,0.000,0
1510776531.622,836.335,814.677,859.913,824.615,0.000,0.000,0
1510776531.624,835.239,816.184,862.312,837.158,0.000,0.000,0
1510776531.626,834.690,816.253,858.611,841.270,0.000,0.000,0
1510776531.628,834.279,818.857,859.708,843.258,0.000,0.000,0
1510776531.630,824.478,817.144,857.515,828.248,0.000,0.000,0
1510776531.632,821.462,821.531,857.926,806.109,0.000,0.000,0
1510776531.634,817.350,824.204,856.898,792.127,0.000,0.000,0
1510776531.636,817.898,824.752,858.748,795.896,0.000,0.000,0
1510776531.638,813.854,822.764,856.418,800.489,0.000,0.000,0
1510776531.640,810.290,820.023,855.116,802.956,0.000,0.000,0
1510776531.642,813.648,820.640,853.608,808.919,0.000,0.000,0
1510776531.644,820.091,820.914,854.225,822.764,0.000,0.000,0
1510776531.646,818.104,822.901,856.075,831.812,0.000,0.000,0
1510776531.648,810.838,821.942,856.486,827.151,0.000,0.000,0
1510776531.650,803.779,820.845,855.116,813.032,0.000,0.000,0
1510776531.652,804.190,820.708,854.704,795.348,0.000,0.000,0
1510776531.654,808.988,821.736,855.595,789.179,0.000,0.000,0
1510776531.656,813.443,820.982,857.652,792.881,0.000,0.000,0
1510776531.658,819.543,821.668,858.680,792.675,0.000,0.000,0
1510776531.660,819.269,821.462,857.857,799.529,0.000,0.000,0
1510776531.662,823.107,820.160,857.857,812.278,0.000,0.000,0
1510776531.664,829.550,819.543,859.639,833.457,0.000,0.000,0
1510776531.666,838.392,822.285,860.667,851.414,0.000,0.000,0
1510776531.668,835.444,820.503,860.119,846.959,0.000,0.000,0
1510776531.670,830.235,817.966,858.611,833.320,0.000,0.000,0
1510776531.672,827.151,820.228,858.748,818.652,0.000,0.000,0
1510776531.674,824.958,821.531,857.857,804.738,0.000,0.000,0
1510776531.676,821.736,823.587,858.200,801.311,0.000,0.000,0
1510776531.678,817.418,822.079,859.160,802.750,0.000,0.000,0
1510776531.680,822.147,815.910,858.954,798.981,0.000,0.000,0
1510776531.682,830.509,818.446,860.256,810.496,0.000,0.000,0
1510776531.684,830.235,819.543,859.022,824.752,0.000,0.000,0
1510776531.686,830.578,821.668,858.474,839.077,0.000,0.000,0
1510776531.688,832.292,824.409,860.736,839.077,0.000,0.000,0
1510776531.690,831.880,823.107,860.325,832.429,0.000,0.000,0
1510776531.692,831.606,823.518,861.010,819.269,0.000,0.000,0
1510776531.694,818.857,821.805,858.474,800.420,0.000,0.000,0
1510776531.696,814.334,823.792,862.518,796.239,0.000,0.000,0
1510776531.698,810.975,821.325,858.406,788.151,0.000,0.000,0
1510776531.700,814.539,822.970,857.515,793.634,0.000,0.000,0
1510776531.702,820.091,824.409,857.035,804.190,0.000,0.000,0
1510776531.704,823.587,822.901,856.555,818.446,0.000,0.000,0
1510776531.706,828.453,820.845,857.172,839.351,0.000,0.000,0
1510776531.708,828.796,818.652,856.555,845.246,0.000,0.000,0
1510776531.710,827.973,820.365,858.543,841.339,0.000,0.000,0
1510776531.712,820.845,819.886,858.131,810.496,0.000,0.000,0
1510776531.714,813.237,821.188,858.680,795.348,0.000,0.000,0
1510776531.716,810.633,820.708,857.103,799.529,0.000,0.000,0
1510776531.718,813.717,819.337,857.240,810.975,0.000,0.000,0
1510776531.720,822.285,818.857,857.652,822.627,0.000,0.000,0
1510776531.722,822.901,818.309,857.789,831.058,0.000,0.000,0
1510776531.724,825.300,821.462,860.530,843.943,0.000,0.000,0
1510776531.726,828.111,819.749,860.599,851.140,0.000,0.000,0
1510776531.728,825.506,818.378,858.543,849.221,0.000,0.000,0
1510776531.730,824.683,815.636,858.268,838.871,0.000,0.000,0
1510776531.732,821.188,821.531,858.474,817.075,0.000,0.000,0
1510776531.734,816.253,823.244,856.692,788.905,0.000,0.000,0
1510776531.736,819.406,823.861,856.829,786.575,0.000,0.000,0
1510776531.738,822.216,823.518,856.212,797.199,0.000,0.000,0
